column_name,data_type,family,description,is_available,reasoning
LALVOTERID,STRING,identity_pii,Permanent and unique ID generated by L2 for a single voter,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
SEQUENCE,INT,operational,SEQUENCE,false,Internal/ETL metadata - not exposed to the agent.
Voters_StateVoterID,STRING,identity_pii,State-supplied voter ID,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
Voters_CountyVoterID,STRING,identity_pii,Voters CountyVoterID,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
Voters_FirstName,STRING,identity_pii,Voters FirstName,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
Voters_MiddleName,STRING,identity_pii,Sometimes represented by just a middle initial.,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
Voters_LastName,STRING,identity_pii,Voters LastName,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
Voters_NameSuffix,STRING,identity_pii,"Jr., Sr, etc.",false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
Residence_Addresses_AddressLine,STRING,identity_pii,Residence Addresses AddressLine,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
Residence_Addresses_ExtraAddressLine,STRING,identity_pii,Residence Addresses ExtraAddressLine,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
Residence_Addresses_City,STRING,geography,City of the voter's residence address.,true,"Geographic / district context - non-PII, non-partisan; included."
Residence_Addresses_State,STRING,geography,Two-letter US state of the voter's residence address.,true,"Geographic / district context - non-PII, non-partisan; included."
Residence_Addresses_Zip,INT,geography,5-digit ZIP code of the voter's residence address.,true,"Geographic / district context - non-PII, non-partisan; included."
Residence_Addresses_ZipPlus4,INT,identity_pii,Residence Addresses ZipPlus4,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
Residence_Addresses_DPBC,INT,identity_pii,Residence Address Delivery Point Barcode Numeric Value,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
Residence_Addresses_CheckDigit,INT,identity_pii,Residence address delivery point check digit which validates accuracy of zip+4 and DPC,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
Residence_Addresses_HouseNumber,STRING,identity_pii,Residence Addresses HouseNumber,false,"Direct identifier / PII (name, address, phone, DOB, device, family) - removed."
